City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,neiafu,-18.65,-173.9833,297.83,88,100,9.25,TO,1731390016
255,show low,34.2542,-110.0298,281.49,45,0,4.12,US,1731390017
256,puerto baquerizo moreno,-0.9,-89.6,293.66,75,72,3.92,EC,1731390018
257,mao,39.8885,4.2658,288.46,72,20,8.75,ES,1731390020
258,sandnessjoen,66.0217,12.6316,279.21,93,75,3.09,NO,1731390021
259,igarka,67.4667,86.5833,250.98,97,100,3.55,RU,1731390023
260,neustadt an der donau,48.8,11.7667,276.55,88,75,4.12,DE,1731390024
261,maloye ganyushkino,46.6,49.2667,277.88,60,95,4.14,KZ,1731390025
262,byron bay,-28.65,153.6167,293.86,96,96,4.51,AU,1731390027
263,kyakhta,50.3508,106.4494,273.17,81,58,3.14,RU,1731390028
264,reggane,26.7158,0.1714,292.07,40,6,4.47,DZ,1731390030
265,kalmunai,7.4167,81.8167,303.67,66,22,2.54,LK,1731390031
266,praia da vitoria,38.7333,-27.0667,294.29,94,75,9.55,PT,1731390032
267,badger,64.8,-147.5333,255.29,77,0,0.0,US,1731390034
268,ancud,-41.8697,-73.8203,282.84,90,100,3.61,CL,1731390035
269,bardai,11.65,7.2333,291.31,40,5,4.0,NG,1731390036
270,medicine hat,50.0501,-110.6683,282.7,57,75,5.14,CA,1731389884
271,fort bragg,35.139,-79.006,289.06,96,0,1.54,US,1731390039
272,nelson bay,-32.7167,152.15,293.76,100,100,3.58,AU,1731390041
273,tirmiz,37.2242,67.2783,285.2,66,99,1.03,UZ,1731389769
274,la passe,45.5549,-0.8967,280.96,90,39,6.26,FR,1731390043
275,bull savanna,17.8868,-77.5902,297.78,82,100,1.34,JM,1731390045
276,ketchikan,55.3422,-131.6461,280.14,93,100,0.0,US,1731390048
277,saipan,15.1355,145.701,304.54,78,75,7.2,MP,1731390049
278,santiago de cao,-7.9589,-79.2392,289.22,94,100,3.09,PE,1731390050
279,aral,40.5156,81.2636,286.52,38,43,2.23,CN,1731390052
280,sumbe,-11.2061,13.8437,298.27,84,100,2.28,AO,1731390053
281,usogorsk,63.4106,48.6872,274.41,98,100,4.24,RU,1731390055
282,taltal,-25.4,-70.4833,289.39,82,24,1.03,CL,1731390056
283,mundybash,53.211,87.2983,265.91,79,100,5.34,RU,1731390057
284,kruisfontein,-34.0033,24.7314,292.84,61,1,2.3,ZA,1731390059
285,arroyo,41.6096,-4.7969,281.17,89,0,6.17,ES,1731390060
286,belmonte,-15.8631,-38.8828,294.57,94,42,1.74,BR,1731390062
287,alice springs,-23.7,133.8833,300.9,44,82,4.12,AU,1731390063
288,port lincoln,-34.7333,135.8667,291.92,68,2,8.87,AU,1731390064
289,lihue,21.9789,-159.3672,297.92,88,100,6.69,US,1731390066
290,ouani,-12.1322,44.4258,301.36,75,72,3.43,KM,1731390067
291,halifax,44.6453,-63.5724,283.15,95,26,1.54,CA,1731390069
292,batang,-6.4846,110.7083,304.57,60,100,5.86,ID,1731390070
293,fayroz koh,34.5195,65.2509,282.81,17,0,0.44,AF,1731390071
294,padangsidempuan,1.3667,99.2667,302.41,63,94,2.1,ID,1731390073
295,bowen,-20.0167,148.2333,299.96,64,8,4.69,AU,1731390074
296,magadan,59.5667,150.8,259.18,71,99,3.79,RU,1731390076
297,remire-montjoly,4.9167,-52.2667,296.17,100,0,2.06,GF,1731390077
298,bela,25.9333,81.9833,303.61,32,1,1.49,IN,1731390078
299,san luis de la loma,17.2706,-100.8939,299.36,87,81,0.72,MX,1731390080
300,weno,7.4515,151.8468,299.99,79,100,3.19,FM,1731390081
301,eyl,7.9803,49.8164,302.09,62,41,7.13,SO,1731390083
302,galesong,-5.3166,119.3661,302.54,67,56,2.94,ID,1731390084
